query	count	code	display
meningitidis	131	717208003	Neisseria meningitidis serogroup B or Escherichia coli K1
meningitidis	131	717209006	Neisseria meningitidis serogroup Y or Neisseria meningitidis serogroup W135
meningitidis	131	719596001	Administration of meningitis C vaccine
meningitidis	131	720335006	Neisseria meningitidis w135 IgG
meningitidis	131	720537002	Administration of meningitis B vaccine
meningitidis	131	720539004	Administration of first dose of meningitis B vaccine
meningitidis	131	720540002	Administration of second dose of meningitis B vaccine
meningitidis	131	720544006	Administration of booster dose of meningitis B vaccine
meningitidis	131	722355003	Neisseria meningitidis, beta lactamase negative
meningitidis	131	722356002	Neisseria meningitidis, beta lactamase positive
meningitidis	131	771325005	Neisseria meningitidis E Ag
meningitidis	131	783621008	Immunodeficiency with factor I anomaly
meningitidis	131	836401009	Neisseria meningitidis antigen-containing vaccine product
meningitidis	131	836500008	Haemophilus influenzae type b and Neisseria meningitidis serogroup C antigens only vaccine product
meningitidis	131	860695004	Allergy to meningococcus vaccine
meningitidis	131	860805006	Encephalomyelitis caused by Neisseria meningitidis
meningitidis	131	871823008	Neisseria meningitidis serogroup C capsular polysaccharide antigen conjugated
meningitidis	131	871834006	Neisseria meningitidis serogroup A capsular polysaccharide antigen conjugated
meningitidis	131	871835007	Neisseria meningitidis serogroup W135 capsular polysaccharide antigen conjugated
meningitidis	131	871836008	Neisseria meningitidis serogroup Y capsular polysaccharide antigen conjugated
meningitidis	131	871866001	Neisseria meningitidis serogroup C only vaccine product
meningitidis	131	871871008	Neisseria meningitidis serogroup A and C only vaccine product
meningitidis	131	871873006	Neisseria meningitidis serogroup A, C, W135 and Y only vaccine product
meningitidis	131	871874000	Administration of meningitis A, C, W135 and Y vaccine
meningitidis	131	871912008	Neisseria meningitidis serogroup C capsular oligosaccharide antigen conjugated
meningitidis	131	871913003	Neisseria meningitidis serogroup A capsular oligosaccharide antigen conjugated
meningitidis	131	871914009	Neisseria meningitidis serogroup Y capsular oligosaccharide antigen conjugated
meningitidis	131	871915005	Neisseria meningitidis serogroup W135 capsular oligosaccharide antigen conjugated
meningitidis	131	871916006	Neisseria meningitidis serogroup A, C, W135 and Y capsular oligosaccharide conjugated antigens only vaccine product
meningitidis	131	1119351006	Haemophilus influenzae type b and Neisseria meningitidis serogroup C and Y antigens only vaccine product
meningitidis	131	1119364007	Administration of Haemophilus influenzae type b and meningitis C and Y vaccine
meningitidis	131	1237023008	At increased risk of exposure to Neisseria meningitidis
meningitidis	131	1252690003	Neisseria meningitidis serogroup A antigen only vaccine product
meningitidis	131	1354584007	Meningococcal infectious disease caused by Neisseria meningitidis serogroup B
meningitidis	131	921000221108	Neisseria meningitidis antigen only vaccine product
meningitidis	131	951000221102	Neisseria meningitidis serogroup C capsular polysaccharide conjugated antigen only vaccine product
meningitidis	131	1061000221102	Neisseria meningitidis capsular polysaccharide antigen-only vaccine product
meningitidis	131	1971000221105	Neisseria meningitidis serogroup A, C, W135 and Y capsular polysaccharide conjugated antigens only vaccine product
meningitidis	131	1981000221108	Neisseria meningitidis serogroup B antigen only vaccine product
meningitidis	131	24491000087103	Neisseria meningitidis serogroup C C11 strain capsular polysaccharide unconjugated antigen
meningitidis	131	24671000087100	Neisseria meningitidis serogroup B outer membrane vesicle antigen
meningitidis	131	24701000087101	Haemophilus influenzae type b capsular polysaccharide polyribosylribitol phosphate antigen conjugated to Neisseria meningitidis serogroup B outer membrane protein
meningitidis	131	24731000087109	Neisseria meningitidis serogroup B recombinant NHBA protein antigen
meningitidis	131	24741000087103	Neisseria meningitidis serogroup B recombinant NadA protein antigen
meningitidis	131	24751000087100	Neisseria meningitidis serogroup B recombinant fHbp protein antigen
meningitidis	131	25591000087103	Neisseria meningitidis serogroup A capsular polysaccharide antigen conjugated to Corynebacterium diphtheriae toxoid protein
meningitidis	131	25601000087106	Neisseria meningitidis serogroup C capsular polysaccharide antigen conjugated to Corynebacterium diphtheriae toxoid protein
meningitidis	131	25611000087108	Neisseria meningitidis serogroup W135 capsular polysaccharide antigen conjugated to Corynebacterium diphtheriae toxoid protein
meningitidis	131	25621000087100	Neisseria meningitidis serogroup Y capsular polysaccharide antigen conjugated to Corynebacterium diphtheriae toxoid protein
meningitidis	131	25631000087103	Neisseria meningitidis serogroup A capsular oligosaccharide antigen conjugated to Corynebacterium diphtheriae CRM197 protein
meningitidis	131	25641000087109	Neisseria meningitidis serogroup C capsular oligosaccharide antigen conjugated to Corynebacterium diphtheriae CRM197 protein
meningitidis	131	25651000087107	Neisseria meningitidis serogroup W135 capsular oligosaccharide antigen conjugated to Corynebacterium diphtheriae CRM197 protein
meningitidis	131	25661000087105	Neisseria meningitidis serogroup Y capsular oligosaccharide antigen conjugated to Corynebacterium diphtheriae CRM197 protein
meningitidis	131	52821000087108	Neisseria meningitidis serogroup A capsular polysaccharide conjugated antigen only vaccine product
meningitidis	131	571641000119102	Administration of meningitis polysaccharide vaccine
meningitidis	131	16298691000119102	Administration of meningococcus A, C, W135 and Y capsular oligosaccharide conjugated vaccine
