observation	title	code	cdc_text	edition	version	inactive	effectiveTime	preferred_term
037	Not in a long-term, mutually monogamous relationship	225516002	Multiple sexual contacts [finding]	International	20250201	False	None	Multiple sexual contacts
037	Not in a long-term, mutually monogamous relationship	228460004	Multiple current sexual partners [finding]	International	20250201	False	None	Multiple current sexual partners
037	Not in a long-term, mutually monogamous relationship	228466005	Commitment to sexual relationship [observable entity]	International	20250201	False	None	Commitment to sexual relationship
038	Sex partner of Hepatitis B surface antigen-positive persons	225517006	Sexual partners [observable entity]	International	20250201	False	None	Sexual partners
038	Sex partner of Hepatitis B surface antigen-positive persons	11723008	Contact with [contextual qualifier] [qualifier value]	International	20250201	False	None	Contact with
038	Sex partner of Hepatitis B surface antigen-positive persons	165806002	Hepatitis B surface antigen positive [finding]	International	20250201	False	None	Hepatitis B surface antigen detected
039	Receives treatment for STD	305489005	Under care of genitourinary medicine physician [finding]	International	20250201	False	None	Under care of genitourinary medicine physician
039	Receives treatment for STD	305679000	Seen by genitourinary medicine physician [finding]	International	20250201	False	None	Seen by genitourinary medicine physician
039	Receives treatment for STD	8098009	Sexually transmitted infectious disease [disorder]	International	20250201	False	None	Sexually transmitted infectious disease
040	Illicit drug use	307052004	Illicit drug use [finding]	International	20250201	False	None	Illicit drug use
040	Illicit drug use	228366006	Finding relating to drug misuse behavior [finding]	International	20250201	False	None	Finding relating to drug misuse behavior
041	Illicit injection drug use	226034001	Injecting drug user [finding]	International	20250201	False	None	Injecting drug user
041	Illicit injection drug use	228388006	Intravenous drug user  [finding]	International	20250201	False	None	Intravenous drug user
041	Illicit injection drug use	145101000119102	Intravenous cocaine abuse [disorder]	International	20250201	False	None	Harmful pattern of use of intravenous cocaine
041	Illicit injection drug use	403746009	Skin lesion due to intravenous drug abuse [disorder]	International	20250201	False	None	Skin lesion due to intravenous drug abuse
041	Illicit injection drug use	860699005	Deep vein thrombosis of lower extremity due to intravenous drug use [disorder]	International	20250201	False	None	Deep vein thrombosis of lower extremity due to intravenous drug use
042	Smoke cigarettes	77176002	Smoker [finding]	International	20250201	False	None	Smoker
043	Alcoholism	228281002	Problem drinker [finding]	International	20250201	False	None	Problem drinker
043	Alcoholism	7200002	Alcoholism [disorder]	International	20250201	False	None	Alcoholism
050	Microbiologists routinely exposed to Neisseria meningitidis	159138004	Microbiologist [occupation]	International	20250201	False	None	Microbiologist
050	Microbiologists routinely exposed to Neisseria meningitidis	14698002	Medical microbiologist [occupation]	International	20250201	False	None	Medical microbiologist
050	Microbiologists routinely exposed to Neisseria meningitidis	24932003	Exposure to [contextual qualifier] [qualifier value]	International	20250201	False	None	Exposure to
050	Microbiologists routinely exposed to Neisseria meningitidis	17872004	Neisseria meningitidis [organism]	International	20250201	False	None	Neisseria meningitidis
051	Microbiology laboratorians who work frequently with S. typhi	159138004	Microbiologist [occupation]	International	20250201	False	None	Microbiologist
051	Microbiology laboratorians who work frequently with S. typhi	14698002	Medical microbiologist [occupation]	International	20250201	False	None	Medical microbiologist
051	Microbiology laboratorians who work frequently with S. typhi	159282002	Laboratory technician [occupation]	International	20250201	False	None	Laboratory technician
051	Microbiology laboratorians who work frequently with S. typhi	24932003	Exposure to [contextual qualifier] [qualifier value]	International	20250201	False	None	Exposure to
