descendant	ancestor	display
188582000	118599009	Hodgkin's disease, mixed cellularity of lymph nodes of multiple sites
188586002	118599009	Hodgkin's disease, lymphocytic depletion of intrathoracic lymph nodes
188587006	118599009	Hodgkin's disease, lymphocytic depletion of intra-abdominal lymph nodes
188591001	118599009	Hodgkin's disease, lymphocytic depletion of intrapelvic lymph nodes
188592008	118599009	Hodgkin's disease, lymphocytic depletion of spleen
188593003	118599009	Hodgkin's disease, lymphocytic depletion of lymph nodes of multiple sites
277609007	118599009	Hodgkin's disease, lymphocytic predominance - diffuse
277610002	118599009	Hodgkin's disease, nodular sclerosis - lymphocytic predominance
277611003	118599009	Hodgkin's disease, nodular sclerosis - mixed cellularity
277612005	118599009	Hodgkin's disease, nodular sclerosis - lymphocytic depletion
307633009	118599009	Hodgkin's disease, lymphocytic depletion, diffuse fibrosis
307634003	118599009	Hodgkin's disease, lymphocytic depletion, reticular type
307635002	118599009	Hodgkin's disease, nodular sclerosis - cellular phase
402882001	118599009	Hodgkin's disease affecting skin
404106004	118599009	Lymphomatoid papulosis with Hodgkin's disease
404157000	118599009	Specific skin infiltration in Hodgkin's disease
426071002	118599009	Hodgkin's disease in remission
426885008	118599009	Hodgkin's disease, lymphocytic depletion of lymph nodes of head
762690000	118599009	Classical Hodgkin lymphoma
830057003	118599009	Relapsing classical Hodgkin lymphoma
1255666008	118599009	Hodgkin lymphoma, lymphocyte depletion of lymph nodes of neck
1255687003	118599009	Hodgkin lymphoma, lymphocyte depletion of lymph nodes of head and neck
1255726001	118599009	Hodgkin granuloma of lymph nodes of head
1255727005	118599009	Hodgkin granuloma of lymph nodes of neck
1255728000	118599009	Hodgkin granuloma of lymph nodes of head and neck
1255737000	118599009	Hodgkin disease, lymphocytic-histiocytic predominance of lymph nodes of head
1255738005	118599009	Hodgkin disease, lymphocytic-histiocytic predominance of lymph nodes of neck
1255739002	118599009	Hodgkin disease, lymphocytic-histiocytic predominance of lymph nodes of head and neck
1255743003	118599009	Hodgkin sarcoma of lymph nodes of head
1255744009	118599009	Hodgkin sarcoma of lymph nodes of neck
1255745005	118599009	Hodgkin sarcoma of lymph nodes of head and neck
1255784000	118599009	Hodgkin paragranuloma of lymph nodes of head
1255785004	118599009	Hodgkin paragranuloma of lymph nodes of neck
1255786003	118599009	Hodgkin paragranuloma of lymph nodes of head and neck
1255788002	118599009	Hodgkin disease, mixed cellularity of lymph nodes of head
1255789005	118599009	Hodgkin disease, mixed cellularity of lymph nodes of neck
1255790001	118599009	Hodgkin disease, mixed cellularity of lymph nodes of head and neck
1255791002	118599009	Hodgkin disease, nodular sclerosis of lymph nodes of head and neck
1255792009	118599009	Hodgkin disease, nodular sclerosis of lymph nodes of head
1255793004	118599009	Hodgkin disease, nodular sclerosis of lymph nodes of neck
1255797003	118599009	Hodgkin disease, nodular sclerosis of lymph nodes of lower limb
1255798008	118599009	Hodgkin granuloma of lymph nodes of upper limb
1255802009	118599009	Hodgkin disease of lymph nodes of head
1255803004	118599009	Hodgkin disease of lymph nodes of neck
1255804005	118599009	Hodgkin disease of lymph nodes of head and neck
1255808008	118599009	Hodgkin sarcoma of lymph nodes of upper limb
1255811009	118599009	Hodgkin disease, mixed cellularity of lymph nodes of upper limb
1255812002	118599009	Hodgkin disease, nodular sclerosis of lymph nodes of upper limb
1255814001	118599009	Hodgkin disease, lymphocytic-histiocytic predominance of lymph nodes of upper limb
1255883001	118599009	Hodgkin sarcoma of lymph nodes of lower limb
1255887000	118599009	Hodgkin's paragranuloma of lymph nodes of lower limb
1255888005	118599009	Hodgkin paragranuloma of lymph nodes of upper limb
1255890006	118599009	Hodgkin disease, lymphocytic depletion of lymph nodes of upper limb
1255892003	118599009	Hodgkin disease, lymphocytic depletion of lymph nodes of lower limb
1255894002	118599009	Hodgkin granuloma of lymph nodes of lower limb
1255897009	118599009	Hodgkin disease, lymphocytic-histiocytic predominance of lymph nodes of lower limb
1255898004	118599009	Hodgkin disease, mixed cellularity of lymph nodes of lower limb
1255902005	118599009	Hodgkin disease of lymph nodes of lower limb
1255905007	118599009	Hodgkin disease of lymph nodes of upper limb
234546001	123785006	Immunoglobulin G2 deficiency
234547005	123785006	Combined immunoglobulin G2 and G4 deficiency
234548000	123785006	Immunoglobulin G3 deficiency
234549008	123785006	Immunoglobulin G4 deficiency
234550008	123785006	Immunoglobulin G1 deficiency
840472009	123785006	Deficiency of immunoglobulin A with immunoglobulin G subclass deficiency
29260007	124950009	Immunoglobulin A deficiency
234544003	124950009	Immunoglobulin subclass deficiency
234546001	124950009	Immunoglobulin G2 deficiency
234547005	124950009	Combined immunoglobulin G2 and G4 deficiency
234548000	124950009	Immunoglobulin G3 deficiency
234549008	124950009	Immunoglobulin G4 deficiency
234550008	124950009	Immunoglobulin G1 deficiency
234551007	124950009	Immunoglobulin A1 deficiency
